Date,Open-amzn,High-amzn,Low-amzn,Close-amzn,Adj Close-amzn,Volume-amzn,SMA-7,SMA-21,SMA-90,Change,% Change,Gain,Loss,Average Gain,Average Loss,RS,RSI-14 Day,TR,DM+1,DM-1,TR-14,DM+1-14,DM-1+14,dl+1-14,dl-1-14,dl14diff,dl14sum,DX,ADX
3/11/19,1626.119995,1672.290039,1626.01001,1670.619995,1670.619995,3876400,1663.807146,1637.403803,1615.900338,49.819946,3.073787296,49.819946,0,11.90163529,9.704908704,1.226352112,55.08347514,51.48999,49.570068,0,416.1803,150.980103,125.910035,36.2775708,30.25372297,6.023847837,66.53129377,9.054157068,18.34433128
3/12/19,1669,1684.27002,1660.97998,1673.099976,1673.099976,3614500,1664.00286,1641.445708,1617.391671,2.479981,0.148446745,2.479981,0,11.22865998,9.011700939,1.246008945,55.47657981,23.29004,11.979981,0,414.660281,162.03003,125.910035,39.07536782,30.36462395,8.710743868,69.43999177,12.54427549,18.68654825
3/13/19,1683,1700,1679.349976,1690.810059,1690.810059,3552000,1663.237148,1646.198568,1619.173782,17.710083,1.058519111,17.710083,0,11.69161877,8.368008015,1.397180637,58.28432849,26.900024,15.72998,0,418.91028,177.76001,116.700074,42.43390971,27.85801151,14.57589821,70.29192122,20.73623534,17.7123385
3/14/19,1691.199951,1702,1684.339966,1686.219971,1686.219971,2946600,1662.349993,1648.49428,1620.153893,-4.590088,-0.271472717,0,4.590088,10.85650314,8.098156585,1.340614129,57.27617007,17.660034,2,0,421.070314,168.380128,116.700074,39.98860105,27.71510366,12.27349739,67.70370471,18.1282508,18.21230313
3/15/19,1703,1718.800049,1693.130005,1712.359985,1712.359985,7550900,1668.551427,1651.939994,1620.674226,26.140014,1.550213759,26.140014,0,11.94818249,7.519716829,1.588913886,61.37376351,32.580078,16.800049,0,429.440431,165.520142,116.700074,38.54321346,27.17491544,11.36829802,65.7181289,17.29857226,19.36029372
3/18/19,1712.699951,1750,1712.630005,1742.150024,1742.150024,5429100,1685.151437,1657.63047,1621.525559,29.790039,1.739706561,29.790039,0,13.22260081,6.982594199,1.893651619,65.44158967,37.640015,31.199951,0,443.220461,196.720093,102.440064,44.38425351,23.11266582,21.27158769,67.49691933,31.51490156,20.79738632
3/19/19,1753.51001,1784.160034,1753.51001,1761.849976,1761.849976,6364200,1705.301427,1664.959043,1623.015002,19.699952,1.130783901,19.699952,0,13.68526875,6.48383747,2.110674244,67.85262868,42.01001,34.160034,0,458.520388,229.060058,102.440064,49.95635178,22.34144145,27.61491033,72.29779322,38.19606256,23.0276459
3/20/19,1769.939941,1799.5,1767.030029,1797.27002,1797.27002,6265600,1723.394287,1673.039522,1624.731224,35.420044,2.010389334,35.420044,0,15.2377527,6.020706222,2.53089125,71.67853867,37.650024,15.339966,0,478.230348,234.440063,102.440064,49.0224144,21.42065313,27.60176128,70.44306753,39.18307683,24.59082165
3/21/19,1796.26001,1823.75,1787.280029,1819.26001,1819.26001,5767800,1744.274292,1682.428095,1625.43978,21.98999,1.223521772,21.98999,0,15.72005536,5.590655778,2.811844619,73.76598209,36.469971,24.25,0,480.270265,236.200073,102.440064,49.18065727,21.32967028,27.85098699,70.51032755,39.49915984,24.37354632
3/22/19,1810.170044,1818.97998,1763.109985,1764.77002,1764.77002,6363000,1754.840001,1689.348575,1625.549335,-54.48999,-2.995173296,0,54.48999,14.59719427,9.083465365,1.607007203,61.64183977,56.150025,0,24.170044,498.720216,201.030029,126.610108,40.30917989,25.38700136,14.92217853,65.69618124,22.71392073,22.67408086
